Player,Team,Pos,PTS
Keldon Johnson,SAS,SF,18.6
Kyle Kuzma,2TM,PF,18.6
Cole Anthony,ORL,PG,18.6
Klay Thompson,DAL,SF,18.5
Quentin Grimes,PHI,SG,18.5
Bam Adebayo,MIA,C,18.4
Payton Pritchard,BOS,PG,18.4
Aaron Wiggins,OKC,SG,18.4
Santi Aldama,MEM,PF,18.4
De'Anthony Melton,GSW,SG,18.4
Myles Turner,IND,C,18.2
Andrew Wiggins,MIA,SF,18.2
Talen Horton-Tucker,CHI,SG,18.2
GG Jackson II,MEM,PF,18.2
Branden Carlson,OKC,C,18.2
D'Angelo Russell,2TM,PG,18.1
Khris Middleton,WAS,SF,18.1
Marcus Smart,WAS,PG,18
Trendon Watford,BRK,PF,18
Reece Beekman,GSW,PG,18
Jordan McLaughlin,SAS,PG,18
Jack McVeigh,HOU,PF,18
Alex Reese,2TM,PF,18
Paul George,PHI,PF,17.9
Derrick White,BOS,SG,17.8
Zach Collins,CHI,PF,17.8
Svi Mykhailiuk,UTA,SF,17.8
Ivica Zubac,LAC,C,17.7
Kevin Love,MIA,PF,17.7
Gradey Dick,TOR,SG,17.6
Buddy Hield,GSW,SG,17.6
Kevin Porter Jr.,2TM,SG,17.6
Cameron Payne,NYK,PG,17.6
Torrey Craig,2TM,SF,17.5
Chris Duarte,CHI,SG,17.5
Dennis Schröder,3TM,PG,17.4
Tari Eason,HOU,PF,17.4
Jared Butler,PHI,SG,17.3
Dante Exum,DAL,PG,17.3
Onyeka Okongwu,ATL,C,17.2
Deandre Ayton,POR,C,17.2
Aaron Gordon,DEN,PF,17.2
Zaccharie Risacher,ATL,SF,17.1
Kevin Porter Jr.,LAC,SG,17.1
Jarrett Allen,CLE,C,17
Dennis Schröder,DET,PG,17
Scoot Henderson,POR,PG,17
Thomas Bryant,IND,C,17
Jevon Carter,CHI,PG,17
D'Angelo Russell,LAL,PG,16.9
Josh Okogie,CHO,SG,16.9
Russell Westbrook,DEN,PG,16.8
Quentin Grimes,2TM,SG,16.8
Malaki Branham,SAS,SG,16.8
Patrick Baldwin Jr.,WAS,SF,16.8
Jakob Poeltl,TOR,C,16.7
Caris LeVert,2TM,SG,16.7
Moses Moody,GSW,SG,16.7
Jordan Hawkins,NOP,SG,16.7
Tre Jones,CHI,PG,16.7
Day'Ron Sharpe,BRK,C,16.6
Kelly Olynyk,NOP,C,16.6
MarJon Beauchamp,2TM,SF,16.6
Isaiah Joe,OKC,SG,16.5
Mikal Bridges,NYK,SF,16.4
Scotty Pippen Jr.,MEM,PG,16.4
AJ Johnson,MIL,SG,16.4
E.J. Liddell,CHI,PF,16.4
Christian Braun,DEN,SG,16.3
Kyle Kuzma,MIL,PF,16.3
Dalton Knecht,LAL,SF,16.3
Thomas Bryant,2TM,C,16.3
Paul Reed,DET,C,16.3
Terrence Shannon Jr.,MIN,SG,16.3
Isaiah Wong,CHO,SG,16.3
OG Anunoby,NYK,PF,16.2
Josh Giddey,CHI,PG,16.2
Duncan Robinson,MIA,SF,16.2
Brandon Boston Jr.,NOP,SG,16.2
Kelly Olynyk,2TM,C,16.2
Quentin Grimes,DAL,SG,16.1
0ji Marshall,DAL,SF,16.1
Zach Edey,MEM,C,16.1
Ausar Thompson,DET,SF,16.1
Kelly Olynyk,TOR,C,16.1
Jeff Green,HOU,PF,16.1
Georges Niang,2TM,PF,16
Jeremy Sochan,SAS,PF,16
Duop Reath,POR,C,16
Jerami Grant,POR,PF,15.9
Aaron Nesmith,IND,SF,15.9
Rob Dillingham,MIN,PG,15.9
Corey Kispert,WAS,SF,15.8
Alex Sarr,WAS,C,15.8
Kevin Huerter,CHI,SG,15.8
Bogdan Bogdanović,LAC,SG,15.8
Josh Okogie,2TM,SG,15.8
Larry 0nce Jr.,ATL,PF,15.8
Kelly Oubre Jr.,PHI,SF,15.7
Johnny Juzang,UTA,SG,15.7
Jamison Battle,TOR,SF,15.7
Jalen Duren,DET,C,15.6
P.J. Washington,DAL,PF,15.6
Marcus Sasser,DET,PG,15.6
Marcus Smart,2TM,PG,15.6
Charles Bassey,SAS,C,15.6
Brandon Williams,DAL,PG,15.6
Amen Thompson,HOU,SF,15.5
Tobias Harris,DET,PF,15.5
Jaylen Wells,MEM,SG,15.5
Caris LeVert,CLE,SF,15.5
Donte DiVincenzo,MIN,SG,15.5
Brandon Clarke,MEM,PF,15.5
Matas Buzelis,CHI,SF,15.5
Garrison Mathews,ATL,SG,15.5
Grayson Allen,PHO,SG,15.4
Nikola Jović,MIA,PF,15.4
Kel'el Ware,MIA,C,15.4
Ricky Council IV,PHI,SF,15.4
Gary Payton II,GSW,SG,15.4
Zach Collins,2TM,PF,15.4
Bruce Brown,TOR,PG,15.4
Josh Okogie,PHO,SG,15.4
Isaac Jones,SAC,PF,15.4
Kobe Bufkin,ATL,SG,15.4
Alex Reese,PHI,PF,15.4
Jaylen Martin,2TM,SF,15.4
Terry Rozier,MIA,PG,15.3
Keon Johnson,BRK,SG,15.3
Nick Richards,CHO,C,15.3
Seth Curry,CHO,SG,15.3
MarJon Beauchamp,MIL,SF,15.3
Gary Trent Jr.,MIL,SG,15.2
Julian Strawther,DEN,SG,15.2
Georges Niang,CLE,PF,15.2
Luke Ken0rd,MEM,SG,15.2
Vince Williams Jr.,MEM,SG,15.2
Jazian Gortman,DAL,PG,15.2
A.J. Lawson,TOR,SG,15.2
Dillon Brooks,HOU,SF,15.1
Harrison Barnes,SAS,PF,15
Julian Champagnie,SAS,SF,15
Derrick Jones Jr.,LAC,SF,15
Clint Capela,ATL,C,15
Justin Champagnie,WAS,SF,15
Richaun Holmes,WAS,PF,15
Isaiah Jackson,IND,C,15
Rui Hachimura,LAL,PF,14.9
Nick Richards,2TM,C,14.9
Bogdan Bogdanović,2TM,SG,14.9
Marcus Smart,MEM,PG,14.9
Dyson Daniels,ATL,SG,14.8
Kyle Filipowski,UTA,C,14.8
