"Pos","Avg_STL","Avg_BLK","n"
"C",1.03225806451613,1.58387096774194,93
"PF",1.1448275862069,0.866666666666667,87
"PG",1.4956043956044,0.438461538461538,91
"SF",1.19615384615385,0.580769230769231,78
"SG",1.35819672131148,0.477868852459016,122
