"Pos","Avg_ORB","Avg_DRB","Avg_TRB","n"
"C",3.53333333333333,7.50645161290323,11.0408602150538,93
"PF",2.01609195402299,5.63908045977012,7.66666666666667,87
"SF",1.47179487179487,4.46538461538462,5.93846153846154,78
"SG",1.15901639344262,3.66803278688525,4.82459016393443,122
"PG",0.851648351648352,3.61648351648352,4.47252747252747,91
