Player,Team,Pos,PTS,TRB,AST
Delon Wright,NYK,PG,11.1,2.8,5.5
JD Davison,BOS,PG,11.1,2.8,2.8
Davion Mitchell,MIA,PG,11.1,2.1,5
Kobe Brown,LAC,PF,11,9.1,2.9
Colin Castleton,MEM,C,11,7,0
Terance Mann,LAC,SG,11,5.3,2.9
Isaiah Collier,UTA,PG,11,4.6,9
Gui Santos,GSW,PF,10.9,7.8,3.8
Al Horford,BOS,C,10.9,7.6,2.5
Alex Ducas,OKC,SG,10.9,7.1,0.9
Damion Baugh,CHO,SG,10.9,4,5.5
Jalen Pickett,DEN,SG,10.9,3.8,5.9
Taze Moore,POR,SG,10.8,14.4,1.8
Cui Yongxi,BRK,SG,10.8,7.2,0
Taurean Prince,MIL,SF,10.8,5.1,2.7
TyTy Washington Jr.,PHO,PG,10.8,4.6,4.6
Jaylen Clark,MIN,SG,10.8,3.2,1.4
Quincy Olivari,LAL,PG,10.8,0,3.6
Trey Jemison,LAL,C,10.7,9.7,1
Jo0than Mogbo,TOR,PF,10.7,8.3,3.3
Wendell Moore Jr.,2TM,SG,10.7,7.1,2.9
Kris Murray,POR,SF,10.7,6,2.3
Caleb Martin,PHI,SF,10.7,5.2,2.6
Isaac Okoro,CLE,SG,10.7,4.2,2.7
Kai Jones,LAC,C,10.6,8,1.7
Dorian Finney-Smith,2TM,PF,10.6,5.2,1.7
Ben Sheppard,IND,SG,10.6,4.8,2.2
Patty Mills,2TM,PG,10.6,2.6,3
Isaiah Crawford,SAC,SF,10.5,10.5,0
Isaiah Stewart,DET,C,10.5,10.2,3
Luke Kornet,BOS,C,10.5,10.1,3.4
Markieff Morris,DAL,PF,10.5,7,3.5
Rayan Rupert,POR,SG,10.5,5.4,2.1
Jordan McLaughlin,2TM,PG,10.5,3.7,5.5
DeAndre Jordan,DEN,C,10.4,14.6,2.5
Wendell Moore Jr.,DET,SG,10.4,7.2,3.8
Pat Con0ughton,MIL,SG,10.4,6.4,4
Kentavious Caldwell-Pope,ORL,SG,10.4,2.5,2.1
Moussa Diabaté,CHO,C,10.3,13,1.7
Jalen Hood-Schifino,LAL,SG,10.3,2.6,2.6
Jamal Cain,NOP,SF,10.2,6.4,1.8
Cason Wallace,OKC,SG,10.2,4.6,3.2
Patty Mills,UTA,PG,10.2,2.9,2.9
Keshad Johnson,MIA,SF,10.1,10.7,1.9
Adem Bo0,PHI,C,10.1,9.2,1
Steven Adams,HOU,C,10,14.6,3.5
David Duke Jr.,SAS,SG,10,6,6
Jordan McLaughlin,SAC,PG,10,4,4.5
Drew Peterson,BOS,PF,9.9,7.2,3.1
Hunter Tyson,DEN,PF,9.9,7,1.6
Pacome Dadiet,NYK,SG,9.9,5.3,1.9
Haywood Highsmith,MIA,SF,9.9,4.6,2
Gabe Vincent,LAL,PG,9.9,2.1,2.5
Maxwell Lewis,BRK,SF,9.8,13.1,1.6
Javonte Green,2TM,SG,9.8,6,1.5
Tre Jones,SAS,PG,9.8,4.6,8.3
Davion Mitchell,2TM,PG,9.7,2.7,6.4
Tidjane Salaün,CHO,PF,9.6,7.9,1.9
Cory Joseph,ORL,PG,9.6,3.5,4
Vlatko Čančar,DEN,PF,9.5,8.5,0
Javonte Green,NOP,SG,9.5,5.9,1.5
Josh Green,CHO,SG,9.5,3.3,1.9
Jarred Vanderbilt,LAL,PF,9.4,12.3,2.4
Trey Jemison,2TM,C,9.4,9.6,1.6
Daniel Theis,NOP,C,9.4,9.5,3.5
Kris Dunn,LAC,PG,9.4,5.4,4.6
Davion Mitchell,TOR,PG,9.3,2.8,6.8
Taj Gibson,CHO,C,9.2,11.7,1.7
Christian Koloko,LAL,C,9.2,9.4,1.8
Dario Šarić,DEN,C,9.2,8.7,3.9
Dean Wade,CLE,PF,9.2,7.9,2.4
Ben Simmons,2TM,PG,9.2,7.7,9.8
DaQuan Jeffries,CHO,SG,9,5.5,2
Caleb Houstan,ORL,SF,9,3.1,1.3
Ben Simmons,BRK,PG,8.9,7.5,10
Jake LaRavia,SAC,PF,8.9,6,2.7
Johnny Furphy,IND,SG,8.8,5.7,1.4
Micah Potter,UTA,C,8.7,8.5,1.7
Dillon Jones,OKC,SF,8.7,8.1,4.1
James Johnson,IND,PF,8.7,5.5,4.4
Dorian Finney-Smith,LAL,PF,8.7,4.8,1.6
Mason Plumlee,PHO,C,8.5,12.6,3.9
Oso Ighodaro,PHO,PF,8.5,7.9,2.4
Jared Rhoden,2TM,SG,8.5,6.4,2.1
Andre Jackson Jr.,MIL,SG,8.4,6.6,3
Bruce Brown,NOP,PG,8.3,6.4,3
Elijah Harkless,UTA,SG,8.3,5.5,2.1
Enrique Freeman,IND,PF,8.3,4.9,2.1
Chris Livingston,MIL,SF,8.2,12,1.1
Trey Jemison,NOP,C,8.2,9.5,2.2
Baylor Scheierman,BOS,SG,8.2,7,3
Trey Alexander,DEN,SG,8.2,4.1,3.2
Ariel Hukporti,NYK,C,8,8.5,1.8
Emoni Bates,CLE,SF,8,0,5.3
Pete 0nce,PHI,C,7.9,5.3,1.6
Cody Williams,UTA,SG,7.9,3.9,2.4
Jae Crowder,SAC,PF,7.8,6.7,1.6
Kessler Edwards,DAL,SF,7.7,7.1,3
Josh Christopher,MIA,SG,7.7,3.9,5.1
Kyle Lowry,PHI,PG,7.7,3.8,5.4
Josh Richardson,MIA,SG,7.7,2.9,2.9
Tristan Thompson,CLE,C,7.5,13.8,3.2
Armel Traoré,LAL,SF,7.5,8.1,0.5
Dwight Powell,DAL,C,7.4,8.6,3.6
Alex Len,SAC,C,7.3,8.9,4.2
Gary Harris,ORL,SG,7.3,2.8,1.2
Colby Jones,SAC,SG,7.2,6.4,1.9
Jordan Walsh,BOS,PF,7.2,5.7,1.7
PJ Dozier,MIN,SG,7.2,5.1,5.1
Malachi Flynn,CHO,PG,7.2,0,7.2
John Konchar,MEM,SG,7.1,9.6,2.7
Maxwell Lewis,2TM,SF,7.1,7.1,2.1
Nicolas Batum,LAC,PF,7.1,5.7,2.4
Elfrid Payton,2TM,PG,7.1,5,9.2
Tristen Newton,2TM,SG,6.8,9,4.5
Alex Len,2TM,C,6.8,8.8,3.9
Taylor Hendricks,UTA,PF,6.7,7.2,1
Stanley Umude,MIL,SG,6.6,8.3,1.7
Cam Reddish,LAL,SF,6.6,4,1.4
Jared Rhoden,TOR,SG,6.5,3.3,0
Marvin Bagley III,MEM,PF,6.4,4.2,0
Reece Beekman,2TM,PG,6.4,2.5,4.2
Jericho Sims,MIL,C,6.3,10.6,1.4
Reece Beekman,BRK,PG,6.3,2.4,4.1
Garrett Temple,TOR,SG,6,5.5,6
Delon Wright,2TM,PG,5.9,4,4.3
Maxi Kleber,DAL,PF,5.8,5.4,2.4
Jalen Bridges,PHO,SF,5.8,4.3,0
Delon Wright,MIL,PG,5.8,4.1,4.3
Liam Robbins,MIL,C,5.7,7.6,1.3
Jericho Sims,2TM,C,5.6,10.9,1.8
Ulrich Chomche,TOR,PF,5.6,9,2.3
Jericho Sims,NYK,C,5.5,11,1.9
Spencer Jones,DEN,SF,5.5,6.5,0
Luke Travers,CLE,SG,5.2,7.9,3.3
Xavier Tillman Sr.,BOS,C,5.2,6.6,1.2
Joe Ingles,MIN,SF,5,3.7,7.3
Maxwell Lewis,LAL,SF,5,2.5,2.5
Yuri Collins,GSW,PG,4.5,6.8,9
Jacob Toppin,NYK,SF,4.4,8.1,2.9
Alex Len,LAL,C,3.6,8.1,1.8
Malevy Leons,OKC,SF,3.4,5.1,1.7
D.J. Carton,TOR,SG,3.3,4.4,3.3
Daishen Nix,MIN,PG,2.8,11.1,8.3
Elfrid Payton,CHO,PG,1.8,3.8,5.9
Jaylen Martin,WAS,SF,0,36,0
Jahmir Young,CHI,PG,0,18,18
Tristen Newton,MIN,SG,0,18,4.5
Miles Norris,BOS,PF,0,18,0
Tony Bradley,IND,C,0,18,0
Chuma Okeke,PHI,PF,0,18,0
Jahlil Okafor,IND,C,0,12,12
Riley Minix,SAS,SF,0,10.3,0
Skal Labissière,SAC,PF,0,9,9
Bobi Klintman,DET,SF,0,8.5,2.1
Mac McClung,ORL,SG,0,7.2,14.4
Harrison Ingram,SAS,SF,0,6.5,0
Justin Mi0ya,POR,SF,0,6,4
Cole Swider,DET,SF,0,5.5,2.8
Jesse Edwards,MIN,C,0,0,7.2
Jalen McDaniels,WAS,SF,0,0,5.1
Vasilije Micić,PHO,PG,0,0,0
Sidy Cissoko,POR,SF,0,0,0
Daniss Jenkins,DET,PG,0,0,0
Zyon Pullin,MEM,SG,0,0,0
Emanuel Miller,CHI,PF,0,0,0
