Player,Team,Pos,PTS,TRB,AST
Bol Bol,PHO,PF,20.2,8.8,1.6
Tyler Smith,MIL,PF,20.1,9.1,1.8
Domantas Sabonis,SAC,C,20,14.4,6.3
Jimmy Butler,MIA,PF,20,6.2,5.6
Jimmy Butler,2TM,SF,20,6,5.8
D'Angelo Russell,BRK,PG,20,3.9,8.3
Torrey Craig,CHI,SF,19.8,8,1.6
Kevin Knox,GSW,SF,19.8,7.8,2.8
Michael Porter Jr.,DEN,SF,19.8,7.4,2.3
Jimmy Butler,GSW,SF,19.8,5.8,6.2
Austin Reaves,LAL,SG,19.8,4.5,6.2
Dennis Schröder,BRK,PG,19.8,3.2,7.1
Markieff Morris,LAL,PF,19.8,1.8,5.4
Jo0s Valančiū0s,SAC,C,19.7,13.9,3.6
Kyle Kuzma,WAS,PF,19.7,7.5,3.2
Jalen Smith,CHI,C,19.6,13.2,2.3
Bobby Portis,MIL,PF,19.6,11.9,3.2
Sandro Mamukelashvili,SAS,PF,19.6,9.8,2.1
Cam Whitmore,HOU,SF,19.6,6.7,1.9
Khris Middleton,MIL,SF,19.6,5.7,6.9
Damion Lee,PHO,SG,19.6,5,2.9
Dalano Banton,POR,PG,19.6,4.5,5
Malik Monk,SAC,SG,19.6,4.2,6.5
Tyrese Haliburton,IND,PG,19.6,3.7,9.4
Malcolm Brogdon,WAS,PG,19.5,5.8,6.3
Bradley Beal,PHO,SG,19.5,4,4
Dejounte Murray,NOP,PG,19.3,7.1,8.1
Quinten Post,GSW,PF,19.2,9,3.5
Georges Niang,ATL,PF,19.2,6.3,2.7
Khris Middleton,2TM,SF,19.2,5.9,6.8
Jalen Johnson,ATL,SF,19.1,10.1,5.1
Lester Quiñones,PHI,SG,19.1,8.5,2.1
0z Reid,MIN,C,19.1,7.9,2.8
Keyonte George,UTA,PG,19.1,4.3,6.8
Jaden Hardy,DAL,SG,19,3.7,3.3
N'Faly Dante,HOU,C,18.9,17.1,1.9
Marvin Bagley III,2TM,PF,18.9,11.4,1.4
Obi Toppin,IND,PF,18.9,7.5,2.9
Bennedict Mathurin,IND,SF,18.9,6.4,2.2
T.J. McConnell,IND,PG,18.9,4.8,9
Brice Sensabaugh,UTA,SF,18.8,5.1,2.6
Stephon Castle,SAS,PG,18.8,4.4,5
Devin Vassell,SAS,SG,18.8,4.4,3.4
Jee0than Williams,HOU,SG,18.8,3.1,2.1
Deni Avdija,POR,SF,18.6,8,4.5
Kyle Kuzma,2TM,PF,18.6,7.6,3
