Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
102,Andrew Wiggins,29,MIA,SF,6,6,212,5.4,14.6,0.37,1.9,6.5,0.292,3.6,8.2,0.439,0.435,5.4,6.6,0.818,1.7,3.2,4.9,3.4,1.2,1,2.7,1.7,18.2
103,Klay Thompson,34,DAL,SF,55,55,1505,6.7,16.1,0.416,4.1,10.3,0.398,2.5,5.8,0.431,0.543,1.1,1.2,0.917,0.9,3.7,4.6,2.7,1.1,0.6,1.7,1.7,18.5
104,Stephon Castle,20,SAS,PG,59,29,1497,6.8,16.1,0.422,1.6,5.6,0.286,5.2,10.5,0.495,0.472,3.6,5,0.72,1.3,3.1,4.4,5,1.3,0.3,2.8,2.5,18.8
105,Cameron Johnson,28,BRK,PF,47,47,1493,7.1,14.9,0.477,3.4,8.4,0.405,3.7,6.5,0.569,0.591,4,4.4,0.909,1,3.7,4.7,3.4,1,0.5,1.9,2.1,21.5
106,Jakob Poeltl,29,TOR,C,49,48,1485,7.3,11.9,0.613,0,0,0,7.3,11.9,0.613,0.613,2.1,3.2,0.656,4,7.7,11.7,3.3,1.4,1.5,2.2,3.9,16.7
107,Corey Kispert,25,WAS,SF,56,0,1483,5.8,12.7,0.457,2.7,7.4,0.365,3,5.3,0.566,0.563,1.6,1.9,0.842,0.8,3.3,4.1,2.3,0.6,0.3,1.5,2.2,15.8
108,Cason Wallace,21,OKC,SG,54,36,1482,4.2,9.2,0.457,1.4,4.1,0.341,2.8,5.1,0.549,0.533,0.5,0.6,0.833,1.4,3.2,4.6,3.2,2.3,0.6,1,3,10.2
109,Kyshawn George,21,WAS,SG,55,25,1479,3.8,10.7,0.355,2.2,7.1,0.31,1.6,3.6,0.444,0.458,1.4,1.8,0.778,1,4.5,5.5,3.3,1.3,0.9,2,4,11.2
110,Franz Wagner,23,ORL,SF,44,44,1476,9.8,21,0.467,2,6.5,0.308,7.8,14.6,0.534,0.514,5.1,6,0.85,1,4.8,5.9,5,1.5,0.5,2.5,2.8,26.7
111,Onyeka Okongwu,24,ATL,C,56,22,1474,6.9,11.9,0.58,0.6,2.2,0.273,6.3,9.7,0.649,0.605,2.9,4,0.725,4,7.4,11.4,3,1.1,1.2,1.5,3.3,17.2
112,Buddy Hield,32,GSW,SG,63,22,1471,6.4,15.5,0.413,3.9,10.7,0.364,2.5,4.9,0.51,0.539,1,1.2,0.833,0.9,4.1,5,2.5,1.3,0.5,1.9,2.6,17.6
113,Anthony Davis,31,2TM,PF,43,43,1471,10,19,0.526,0.7,2.3,0.304,9.3,16.6,0.56,0.545,6.3,8,0.788,3,9.6,12.6,3.6,1.3,2.3,2.3,2,27.1
113,Anthony Davis,31,LAL,C,42,42,1440,10,18.9,0.529,0.7,2.3,0.304,9.3,16.6,0.56,0.548,6.3,8,0.788,3,9.5,12.5,3.5,1.4,2.3,2.3,2,27
113,Anthony Davis,31,DAL,PF,1,1,31,11.6,20.9,0.555,2.3,2.3,1,9.3,18.6,0.5,0.61,4.6,7,0.657,4.6,13.9,18.6,8.1,0,3.5,1.2,0,30.2
114,Terry Rozier,30,MIA,PG,53,23,1468,5.6,14,0.4,1.9,6.6,0.288,3.7,7.4,0.5,0.468,2.2,2.5,0.88,0.9,4.1,5.1,3.7,0.8,0.3,1.8,1.7,15.3
115,Jerami Grant,30,POR,PF,45,45,1464,5.1,13.6,0.375,2.5,6.9,0.362,2.6,6.7,0.388,0.467,3.3,3.9,0.846,0.6,3.2,3.8,2.5,1,1.1,1.5,2.6,15.9
116,Quentin Grimes,24,2TM,SG,59,21,1462,6.1,12.8,0.477,2.6,6.7,0.388,3.4,6,0.567,0.578,2,2.8,0.714,1.1,4.9,6,3.5,1.1,0.4,2,2.5,16.8
116,Quentin Grimes,24,DAL,SG,47,12,1070,5.7,12.3,0.463,2.7,6.8,0.397,3,5.5,0.545,0.573,2.1,2.7,0.778,1,5,6,3.4,1.1,0.3,2.1,2.6,16.1
116,Quentin Grimes,24,PHI,SG,12,9,392,7.1,14.1,0.504,2.5,6.7,0.373,4.6,7.4,0.622,0.592,1.8,2.8,0.643,1.5,4.6,6.1,3.8,1.3,0.6,1.9,2.1,18.5
117,Scoot Henderson,20,POR,PG,55,9,1458,5.8,13.5,0.43,2.1,5.8,0.362,3.7,7.7,0.481,0.507,3.3,4.2,0.786,0.9,3.1,4,7.1,1.6,0.3,3.5,3.8,17
118,Ochai Agbaji,24,TOR,SG,54,38,1457,5.3,10.5,0.505,2,5,0.4,3.3,5.5,0.6,0.6,0.7,1,0.7,1.2,3.7,4.9,2,1.1,0.7,1,2.5,13.3
119,Nic Claxton,25,BRK,C,54,46,1454,5.9,10.9,0.541,0,0.4,0,5.9,10.6,0.557,0.541,1.7,3.1,0.548,2.9,7,10,3,1.3,2,1.7,2.8,13.5
120,Anthony Black,21,ORL,PG,60,9,1444,4.7,11.3,0.416,1,3.5,0.286,3.6,7.8,0.462,0.46,3.1,4.1,0.756,0.9,3.1,4.1,4.7,1.6,0.8,2.7,3.3,13.5
121,Walker Kessler,23,UTA,C,47,47,1427,5.9,8.1,0.728,0.1,0.2,0.5,5.9,8,0.738,0.735,1.7,3.2,0.531,5.3,9,14.3,1.9,0.7,2.7,1.7,2.6,13.6
122,Keon Johnson,22,BRK,SG,60,38,1425,5.6,14.9,0.376,2.2,7.6,0.289,3.3,7.3,0.452,0.45,1.9,2.4,0.792,1.3,4.2,5.5,3,1.6,0.6,2,3.9,15.3
123,Duncan Robinson,30,MIA,SF,58,30,1424,5.8,13.3,0.436,3.7,9.6,0.385,2.1,3.7,0.568,0.575,0.9,1,0.9,0.4,3.2,3.6,3.9,0.8,0.1,1.8,2.8,16.2
124,Julian Champagnie,23,SAS,SF,60,26,1422,5.2,12.2,0.426,3.3,8.9,0.371,1.9,3.3,0.576,0.561,1.4,1.5,0.933,1.2,4.6,5.8,2,1.2,0.7,1.4,2,15
125,Royce O'Neale,31,PHO,SF,56,18,1421,4.8,11.2,0.429,3.5,8.4,0.417,1.3,2.8,0.464,0.585,0.5,0.7,0.714,1.1,5.8,6.9,2.9,1.4,0.7,1.3,2.9,13.7
126,Derrick Jones Jr.,27,LAC,SF,57,51,1420,6,11.6,0.517,1.4,4.1,0.341,4.6,7.6,0.605,0.578,1.5,2,0.75,1.9,3.2,5.1,1.2,1.7,0.5,1.3,3,15
127,Tristan Da Silva,23,ORL,SF,60,35,1413,4.4,10.4,0.423,1.8,5.3,0.34,2.6,5.1,0.51,0.51,1.3,1.5,0.867,1.7,3.7,5.4,2.5,0.7,0.4,1.3,2.1,11.9
128,Jrue Holiday,34,BOS,PG,47,47,1413,4.8,10.9,0.44,2.1,6,0.35,2.7,4.8,0.563,0.537,1.4,1.5,0.933,1.3,3.8,5.1,4.4,1.2,0.5,1.6,1.9,13
129,Draymond Green,34,GSW,PF,49,47,1411,3.9,9.2,0.424,1.4,4.1,0.341,2.6,5.1,0.51,0.5,2,2.9,0.69,1.4,6.2,7.7,7.3,1.6,1.3,3,3.9,11.2
130,Davion Mitchell,26,2TM,PG,54,32,1404,3.7,8.1,0.457,1.5,3.8,0.395,2.2,4.2,0.524,0.549,0.8,1.2,0.667,0.5,2.1,2.7,6.4,1.1,0.3,2.4,3.5,9.7
130,Davion Mitchell,26,TOR,PG,44,22,1080,3.5,8.1,0.432,1.4,3.9,0.359,2.1,4.2,0.5,0.519,0.8,1.2,0.667,0.5,2.3,2.8,6.8,1,0.3,2.6,3.9,9.3
130,Davion Mitchell,26,MIA,PG,10,10,324,4.2,7.8,0.538,1.8,3.7,0.486,2.4,4.1,0.585,0.654,0.9,1.2,0.75,0.6,1.6,2.1,5,1.3,0.3,1.9,2.3,11.1
131,Bradley Beal,31,PHO,SG,43,28,1401,7.5,14.9,0.503,2.2,5.4,0.407,5.3,9.5,0.558,0.577,2.4,2.9,0.828,0.8,3.1,4,4,1.2,0.6,2.3,2.9,19.5
132,Aaron Wiggins,26,OKC,SG,62,19,1395,7.2,14.3,0.503,2.7,6.7,0.403,4.5,7.6,0.592,0.598,1.3,1.6,0.813,1.8,4.2,6,2.6,1.2,0.4,1.4,2.1,18.4
133,Ayo Dosunmu,25,CHI,SG,46,26,1394,5.7,11.6,0.491,1.6,4.9,0.327,4.1,6.7,0.612,0.56,1.6,2,0.8,0.7,3.5,4.2,5.4,1.1,0.5,1.8,2.7,14.6
134,Gary Trent Jr.,26,MIL,SG,55,7,1379,5.4,12.1,0.446,3.3,7.8,0.423,2.1,4.3,0.488,0.583,1.2,1.4,0.857,0.4,3.1,3.4,1.7,1.4,0.1,0.9,2.6,15.2
135,Lauri Markkanen,27,UTA,PF,43,43,1379,7.2,16.8,0.429,3.3,9.5,0.347,3.9,7.3,0.534,0.527,4.1,4.7,0.872,1.9,5,6.9,1.7,0.9,0.4,1.5,2,21.7
136,Devin Vassell,24,SAS,SG,45,34,1367,7.2,16.5,0.436,2.6,7.6,0.342,4.6,8.9,0.517,0.515,1.8,2.3,0.783,0.7,3.7,4.4,3.4,1.4,0.6,1.7,1.8,18.8
137,Zaccharie Risacher,19,ATL,SF,56,54,1363,6.4,14.7,0.435,2.2,6.3,0.349,4.2,8.4,0.5,0.51,2.2,3.1,0.71,1.8,3.5,5.3,1.9,1.2,0.7,1.7,2.8,17.1
138,Julian Strawther,22,DEN,SG,61,4,1351,5.5,12.6,0.437,2.5,7,0.357,3,5.6,0.536,0.536,1.8,2.2,0.818,0.4,3.1,3.5,2.2,1,0.4,1.5,3.9,15.2
139,Collin Sexton,26,UTA,SG,48,46,1350,8.2,17.3,0.474,2.4,5.8,0.414,5.8,11.4,0.509,0.543,4.5,5,0.9,1.3,2.3,3.6,5.2,0.9,0.1,3.1,2.8,23.3
140,Keon Ellis,25,SAC,SG,59,12,1347,4.3,8.9,0.483,2.7,6.1,0.443,1.6,2.8,0.571,0.635,1.5,1.7,0.882,1.2,2.9,4.1,2,2.2,1.3,1.3,3.1,12.7
141,Keldon Johnson,25,SAS,SF,57,0,1345,7,14.7,0.476,1.7,5.4,0.315,5.3,9.3,0.57,0.534,2.9,3.9,0.744,2.1,4.8,6.9,2.3,0.9,0.3,1.4,2.4,18.6
142,Mike Conley,37,MIN,PG,54,48,1342,3.7,9.7,0.381,2.6,6.6,0.394,1.1,3.1,0.355,0.515,1.8,1.9,0.947,0.7,3.1,3.8,6.5,1.7,0.3,1.5,2.3,11.7
143,Paul George,34,PHI,PF,41,41,1334,6.6,15.4,0.429,2.6,7.2,0.361,4,8.1,0.494,0.513,2.1,2.6,0.808,0.6,5.3,5.9,4.8,2,0.5,2.9,2.7,17.9
144,Al Horford,38,BOS,C,49,33,1324,4,9.6,0.417,2.4,6.6,0.364,1.6,3,0.533,0.542,0.6,0.7,0.857,1.5,6,7.6,2.5,0.8,1.1,1,1.9,10.9
145,Isaiah Collier,20,UTA,PG,54,29,1323,4.3,10.6,0.406,0.8,3.4,0.235,3.5,7.2,0.486,0.443,1.5,2.4,0.625,0.6,4,4.6,9,1.3,0.3,4.2,3.2,11
146,Georges Niang,31,2TM,PF,61,2,1323,5.9,12.6,0.468,3.3,8.2,0.402,2.6,4.4,0.591,0.599,0.9,1.1,0.818,1.1,5.3,6.4,2.4,0.6,0.3,1.5,4.2,16
146,Georges Niang,31,CLE,PF,51,1,1053,5.7,11.9,0.479,3.1,7.7,0.403,2.6,4.2,0.619,0.609,0.8,1,0.8,1.2,5.3,6.5,2.3,0.6,0.2,1.6,4.4,15.2
146,Georges Niang,31,ATL,PF,10,1,270,6.9,15.5,0.445,4.1,10.1,0.406,2.8,5.3,0.528,0.577,1.2,1.5,0.8,0.9,5.3,6.3,2.7,0.7,0.5,0.8,3.5,19.2
147,De'Andre Hunter,27,2TM,SF,47,7,1320,7.5,16,0.469,3.3,8,0.413,4.1,7.9,0.519,0.572,5,5.8,0.862,0.9,4.2,5.1,1.8,0.9,0.2,1.8,3,23.2
147,De'Andre Hunter,27,ATL,SF,37,4,1064,7.7,16.6,0.464,3.3,8.4,0.393,4.4,8.3,0.53,0.563,5.1,6,0.85,0.9,4,4.9,1.9,1,0.2,2,3,23.8
147,De'Andre Hunter,27,CLE,SF,10,3,256,6.6,13.2,0.5,3.5,6.8,0.515,3.1,6.5,0.477,0.633,4.4,5.1,0.863,0.8,5.2,6,1.3,0.4,0.6,1,3.2,21.1
148,Kris Dunn,30,LAC,PG,55,39,1309,3.9,8.9,0.438,1.4,4.5,0.311,2.4,4.4,0.545,0.517,0.2,0.4,0.5,1.3,4.2,5.4,4.6,2.8,0.5,1.6,4,9.4
149,Haywood Highsmith,28,MIA,SF,54,39,1309,3.7,7.7,0.481,1.8,4.5,0.4,1.8,3.2,0.563,0.597,0.7,0.9,0.778,1.2,3.4,4.6,2,1.4,0.9,1,3.2,9.9
150,Santi Aldama,24,MEM,PF,52,12,1304,7.2,14.7,0.49,2.7,7,0.386,4.5,7.7,0.584,0.582,1.4,1.9,0.737,2.3,7.3,9.6,4.1,1.2,0.8,1.4,1.5,18.4
151,Andrew Nembhard,25,IND,SG,45,45,1303,4.8,10.3,0.466,1,3.1,0.323,3.8,7.2,0.528,0.515,2.2,2.8,0.786,0.6,3.3,4,6.2,1.6,0.2,2.3,3,12.8
152,Wendell Carter Jr.,25,ORL,C,51,34,1298,4.6,9.9,0.465,0.7,3.1,0.226,3.9,6.9,0.565,0.5,2.9,4,0.725,3,7.5,10.5,3.2,1.1,0.7,1.6,4.1,12.7
153,Dorian Finney-Smith,31,2TM,PF,46,30,1291,3.8,8.6,0.442,2.3,5.9,0.39,1.5,2.7,0.556,0.576,0.6,0.9,0.667,1.8,3.3,5.2,1.7,1.2,0.4,1.2,2.8,10.6
153,Dorian Finney-Smith,31,BRK,PF,20,20,579,4.5,9.9,0.455,2.9,6.7,0.433,1.6,3.2,0.5,0.601,0.9,1.5,0.6,1.9,3.7,5.7,1.9,1.1,0.7,1.1,3.4,12.9
153,Dorian Finney-Smith,31,LAL,PF,26,10,712,3.2,7.5,0.427,1.9,5.3,0.358,1.4,2.3,0.609,0.553,0.4,0.5,0.8,1.8,3,4.8,1.6,1.3,0.2,1.3,2.3,8.7
154,Kyle Kuzma,29,2TM,PF,44,41,1290,7.2,16.8,0.429,1.7,5.9,0.288,5.4,10.9,0.495,0.479,2.6,4.1,0.634,1,6.6,7.6,3,0.7,0.3,2.8,2.1,18.6
154,Kyle Kuzma,29,WAS,PF,32,30,887,7.8,18.5,0.422,1.8,6.5,0.277,5.9,12,0.492,0.47,2.4,4,0.6,1.1,6.4,7.5,3.2,0.8,0.3,3,2.1,19.7
154,Kyle Kuzma,29,MIL,PF,12,11,403,5.9,13.1,0.45,1.5,4.6,0.326,4.4,8.5,0.518,0.508,2.9,4.3,0.674,0.8,7.1,8,2.6,0.4,0.3,2.5,2.1,16.3
155,Jalen Johnson,23,ATL,SF,36,36,1284,7.6,15.2,0.5,1.2,4,0.3,6.4,11.2,0.571,0.539,2.6,3.5,0.743,1.7,8.3,10.1,5.1,1.6,1,3,1.9,19.1
156,Brandin Podziemski,21,GSW,SG,50,19,1270,5.4,12.7,0.425,1.9,6,0.317,3.5,6.6,0.53,0.5,1.6,2.1,0.762,1.5,5.4,6.9,4.8,1.5,0.3,1.5,2.1,14.3
157,Jabari Smith Jr.,21,HOU,PF,41,37,1266,4.7,11.3,0.416,1.9,5.6,0.339,2.8,5.7,0.491,0.5,2.1,2.6,0.808,2.2,5.5,7.8,1.1,0.3,1,1.1,2.8,13.6
158,LaMelo Ball,23,CHO,PG,39,39,1265,10,24.5,0.408,4.3,12.9,0.333,5.7,11.7,0.487,0.496,4.7,5.7,0.825,1.1,4.8,5.9,7.7,1.3,0.3,4,3.7,29
159,0ji Marshall,27,DAL,SF,50,16,1263,6.4,12.8,0.5,1.3,4.4,0.295,5.1,8.4,0.607,0.551,2.2,2.6,0.846,1.4,4.7,6.1,3.8,1.5,0.2,2.1,2.2,16.1
160,Grayson Allen,29,PHO,SG,50,3,1239,4.9,11.1,0.441,3.5,8.3,0.422,1.4,2.8,0.5,0.599,2,2.4,0.833,0.8,3.9,4.7,3.1,1.3,0.5,1.5,2.2,15.4
161,Alex Sarr,19,WAS,C,46,46,1236,5.9,15,0.393,2,6.4,0.313,3.9,8.6,0.453,0.46,1.9,2.9,0.655,2.3,6.3,8.7,3,0.9,2,1.8,3.1,15.8
162,Miles McBride,24,NYK,PG,52,1,1233,4.9,11.9,0.412,2.5,6.9,0.362,2.4,5,0.48,0.517,1.3,1.5,0.867,1.2,2.6,3.8,3.9,1.4,0.4,1,2.2,13.7
163,A.J. Green,25,MIL,SG,54,6,1231,4.2,9.7,0.433,3.5,8.3,0.422,0.6,1.4,0.429,0.613,0.6,0.6,1,0.4,3.3,3.7,2.1,0.8,0.2,0.8,3.5,12.5
164,D'Angelo Russell,28,2TM,PG,48,26,1221,6.2,15.4,0.403,2.7,8.4,0.321,3.4,7,0.486,0.49,2.9,3.4,0.853,0.4,3.4,3.8,7.1,1.4,0.6,2.7,2.7,18.1
164,D'Angelo Russell,28,LAL,PG,29,10,763,6.1,14.7,0.415,2.6,7.9,0.329,3.4,6.7,0.507,0.503,2.1,2.5,0.84,0.4,3.4,3.8,6.4,1.1,0.2,2.4,2.5,16.9
164,D'Angelo Russell,28,BRK,PG,19,16,458,6.4,16.7,0.383,2.9,9.3,0.312,3.5,7.4,0.473,0.47,4.3,4.9,0.878,0.6,3.3,3.9,8.3,1.8,1.2,3.3,3,20
165,Scotty Pippen Jr.,24,MEM,PG,61,17,1219,6.1,12.9,0.473,1.7,4.8,0.354,4.4,8.2,0.537,0.539,2.5,3.6,0.694,1.4,4.4,5.9,7.6,2.1,0.6,3.2,4.5,16.4
166,Caris LeVert,30,2TM,SG,49,3,1213,6,12.9,0.465,2.3,6.1,0.377,3.7,6.7,0.552,0.554,2.3,3.3,0.697,0.9,3.5,4.5,5,1.3,0.7,1.8,2.1,16.7
166,Caris LeVert,30,CLE,SF,38,3,904,5.4,11.9,0.454,2.4,5.9,0.407,3,6,0.5,0.555,2.3,3.3,0.697,0.9,3.4,4.3,5.6,1.3,0.8,2,1.9,15.5
166,Caris LeVert,30,ATL,SG,11,0,309,7.9,15.8,0.5,2.2,6.9,0.319,5.7,9,0.633,0.57,2.4,3.4,0.706,1,4,5,3.5,1.3,0.6,1,2.8,20.5
167,Deandre Ayton,26,POR,C,40,40,1206,7.9,14,0.564,0.2,1,0.2,7.7,13,0.592,0.571,1.2,1.8,0.667,3.7,8.4,12.1,1.9,0.9,1.2,2.1,2.6,17.2
168,Goga Bitadze,25,ORL,C,53,41,1198,5.4,8.6,0.628,0.1,0.7,0.143,5.3,8,0.663,0.634,2,3.2,0.625,4.1,7.8,11.8,3.3,1.2,2.6,1.9,3.5,12.8
169,Donte DiVincenzo,28,MIN,SG,45,9,1188,5.2,12.8,0.406,3.8,9.7,0.392,1.4,3.1,0.452,0.555,1.3,1.6,0.813,0.7,4.4,5.1,5,1.8,0.2,2.2,2.3,15.5
170,Isaiah Hartenstein,26,OKC,C,42,40,1186,6.1,10.6,0.575,0,0.4,0,6.1,10.2,0.598,0.575,1.7,2.6,0.654,3.9,10.6,14.4,5.1,1,1.4,2.2,3.8,13.9
171,Jo0s Valančiū0s,32,2TM,C,60,14,1182,8.4,15.3,0.549,0.2,0.9,0.222,8.1,14.4,0.563,0.556,3.5,4,0.875,4.6,10.1,14.6,3.9,0.9,1.1,3,3.8,20.5
171,Jo0s Valančiū0s,32,WAS,C,49,12,983,8.5,15.5,0.548,0.3,1,0.3,8.2,14.5,0.566,0.558,3.5,3.9,0.897,4.4,10.4,14.8,4,0.8,1,3.2,3.6,20.7
171,Jo0s Valančiū0s,32,SAC,C,11,2,199,8,14.3,0.559,0.2,0.4,0.5,7.8,13.9,0.561,0.566,3.6,4.5,0.8,5.4,8.5,13.9,3.6,1.6,1.6,1.8,5.2,19.7
172,Patrick Williams,23,CHI,PF,45,35,1179,4.4,11.8,0.373,2.2,6.2,0.355,2.3,5.6,0.411,0.466,1.5,2,0.75,1,4.5,5.5,2.8,1,0.8,1.8,1.8,12.5
173,Peyton Watson,22,DEN,SF,49,12,1175,4.3,9.2,0.467,1,2.9,0.345,3.3,6.3,0.524,0.522,2.3,3.2,0.719,1.2,4,5.1,2.2,1.3,1.8,1.3,2.5,11.9
174,Bobby Portis,29,MIL,PF,46,7,1160,8,17.3,0.462,1.9,5.1,0.373,6.1,12.2,0.5,0.517,1.7,2.1,0.81,2.6,9.3,11.9,3.2,1,0.8,1.7,2.7,19.6
175,John Collins,27,UTA,PF,38,29,1158,8.1,15.2,0.533,1.7,4.2,0.405,6.3,11,0.573,0.589,4.1,4.8,0.854,2.5,7.1,9.6,2.4,1.2,1.2,3.1,3.5,22
176,Dalton Knecht,23,LAL,SF,58,12,1157,5.9,12.8,0.461,2.9,8,0.363,3,4.7,0.638,0.574,1.6,2,0.8,0.9,4.4,5.3,1.5,0.7,0.1,0.9,2.2,16.3
177,Nikola Jović,21,MIA,PF,46,10,1156,5.4,11.7,0.462,2.4,6.5,0.369,2.9,5.2,0.558,0.564,2.2,2.7,0.815,0.8,4.8,5.6,4.1,1.2,0.4,1.9,2.6,15.4
178,Ziaire Williams,23,BRK,SF,48,30,1148,4.9,12.2,0.402,2.2,6.6,0.333,2.8,5.6,0.5,0.492,2.6,3.1,0.839,1.6,5.5,7.1,2.1,1.5,0.6,1.5,3.6,14.6
179,Jake LaRavia,23,2TM,PF,57,0,1143,4.2,8.9,0.472,1.5,3.6,0.417,2.7,5.3,0.509,0.556,2.2,3.2,0.688,2.6,4.8,7.3,4.6,1.6,0.7,2.5,3.5,12.1
179,Jake LaRavia,23,MEM,PF,47,0,982,4.3,8.8,0.489,1.5,3.3,0.455,2.9,5.5,0.527,0.574,2.5,3.5,0.714,2.5,5.1,7.5,4.9,1.6,0.7,2.5,3.4,12.6
179,Jake LaRavia,23,SAC,PF,10,0,161,3.4,9.2,0.37,1.8,5.6,0.321,1.6,3.6,0.444,0.467,0.4,1.3,0.308,3.1,2.9,6,2.7,1.6,0.4,2.2,4.5,8.9
180,Clint Capela,30,ATL,C,53,41,1142,6.7,11.9,0.563,0,0,0,6.7,11.8,0.568,0.563,1.6,3.1,0.516,5.3,9,14.2,1.9,1,1.6,1.5,3.3,15
181,Ty Jerome,27,CLE,SG,58,2,1140,7.9,15.6,0.506,2.9,6.5,0.446,5.1,9.1,0.56,0.599,3.4,3.8,0.895,1.4,3.4,4.8,6.1,2.3,0,2.3,2.7,22.1
182,Isaiah Stewart,23,DET,C,57,3,1133,4.3,7.8,0.551,0.4,1.3,0.308,3.9,6.5,0.6,0.577,1.7,2.2,0.773,3.5,6.8,10.2,3,0.6,2.4,1.7,4.5,10.5
183,Moses Moody,22,GSW,SG,55,15,1132,5.7,12.8,0.445,3,7.7,0.39,2.7,5.1,0.529,0.563,2.3,3.1,0.742,1,3.1,4.2,2,1,0.7,1.1,2.6,16.7
184,Isaiah Joe,25,OKC,SG,55,11,1131,5.8,13.3,0.436,4.2,10.5,0.4,1.6,2.8,0.571,0.594,0.7,1,0.7,0.9,3.5,4.4,2.4,1.2,0.3,0.8,2.9,16.5
185,Kevin Huerter,26,2TM,SG,52,16,1122,5.2,12.8,0.406,2.8,8.6,0.326,2.4,4.2,0.571,0.516,0.9,1.2,0.75,0.8,3.8,4.6,3.1,1.5,0.5,1.5,2.8,14
185,Kevin Huerter,26,SAC,SG,43,15,899,5.1,12.4,0.411,2.5,8.2,0.305,2.6,4.2,0.619,0.512,0.8,1.1,0.727,0.8,4,4.8,3,1.4,0.6,1.5,2.8,13.5
185,Kevin Huerter,26,CHI,SG,9,1,223,5.3,14.4,0.368,4,10.2,0.392,1.3,4.2,0.31,0.507,1.1,1.5,0.733,1,2.9,3.9,3.6,1.6,0.2,1.6,2.7,15.8
186,Ja Morant,25,MEM,PG,38,38,1119,8.7,20.2,0.431,1.8,6.3,0.286,6.9,13.9,0.496,0.475,6.4,7.6,0.842,0.7,4.2,5,9,1.5,0.4,4.8,2.7,25.6
187,Javonte Green,31,2TM,SG,52,18,1116,3.4,7.5,0.453,1.3,3.6,0.361,2.1,3.9,0.538,0.54,1.6,2.2,0.727,1.6,4.4,6,1.5,1.8,1,0.9,2.5,9.8
187,Javonte Green,31,NOP,SG,50,18,1092,3.3,7.4,0.446,1.3,3.6,0.361,2,3.8,0.526,0.534,1.6,2.2,0.727,1.6,4.3,5.9,1.5,1.8,1,0.9,2.5,9.5
187,Javonte Green,31,CLE,SG,2,0,24,9,10.5,0.857,3,4.5,0.667,6,6,1,1,1.5,4.5,0.333,1.5,12,13.5,3,0,0,1.5,3,22.5
188,Luka Dončić,25,2TM,PG,32,32,1116,9.4,21,0.448,3.4,9.9,0.343,6,11.1,0.541,0.529,5.6,7.4,0.757,0.8,7.7,8.5,8.2,2,0.5,3.7,2.8,27.6
188,Luka Dončić,25,DAL,PG,22,22,785,9.9,21.4,0.463,3.4,9.7,0.351,6.5,11.6,0.56,0.542,5.1,6.7,0.761,0.7,7.7,8.4,7.9,2,0.4,3.4,2.7,28.4
188,Luka Dončić,25,LAL,PG,10,10,331,8,20.1,0.398,3.2,10.3,0.311,4.9,9.8,0.5,0.478,6.6,9,0.733,1.1,7.7,8.8,8.8,2.1,0.5,4.4,3.2,25.9
189,Daniel Gafford,26,DAL,C,51,28,1115,8.2,11.7,0.701,0,0,0,8.2,11.7,0.701,0.701,3.9,5.6,0.696,4.5,6.8,11.3,2.4,0.7,3.1,2,4.4,20.2
190,Obi Toppin,26,IND,PF,58,0,1112,7.3,13.6,0.537,2.3,6.6,0.348,5,7,0.714,0.621,2.1,2.6,0.808,1.3,6.2,7.5,2.9,1.2,0.6,1.6,2.7,18.9
191,Jimmy Butler,35,2TM,SF,36,36,1107,6.4,12.5,0.512,0.5,1.9,0.263,5.9,10.7,0.551,0.532,6.6,8,0.825,2.7,3.4,6,5.8,1.3,0.4,1.4,1.2,20
191,Jimmy Butler,35,MIA,PF,25,25,766,6.7,12.4,0.54,0.6,1.7,0.353,6.1,10.7,0.57,0.565,6.1,7.6,0.803,2.6,3.6,6.2,5.6,1.3,0.5,1.4,1.1,20
191,Jimmy Butler,35,GSW,SF,11,11,341,5.8,12.9,0.45,0.3,2.2,0.136,5.5,10.7,0.514,0.461,7.9,9,0.878,2.9,3,5.8,6.2,1.5,0.3,1.4,1.4,19.8
192,Sam Hauser,27,BOS,PF,53,12,1095,4.6,10.6,0.434,3.6,9,0.4,1.1,1.5,0.733,0.604,0.1,0.1,1,1.2,4.2,5.4,1.6,1.1,0.3,0.6,2.1,13
193,Gabe Vincent,28,LAL,PG,53,8,1095,3.7,9.5,0.389,2.2,6.7,0.328,1.4,2.8,0.5,0.505,0.3,0.5,0.6,0.4,1.7,2.1,2.5,1.3,0.4,1,3.6,9.9
194,Mason Plumlee,34,PHO,C,61,18,1093,3.2,5.4,0.593,0,0.1,0,3.2,5.3,0.604,0.593,2.1,3.2,0.656,3.2,9.4,12.6,3.9,0.9,1.4,1.6,4.4,8.5
195,Jaime Jaquez Jr.,23,MIA,SF,49,12,1092,5.2,11.8,0.441,0.9,3.1,0.29,4.3,8.7,0.494,0.479,3.1,4,0.775,2,5.4,7.4,4.2,1.7,0.3,2.4,2.3,14.5
196,Luke Ken0rd,28,MEM,SG,49,8,1090,5.3,11.1,0.477,3.1,6.9,0.449,2.2,4.2,0.524,0.617,1.5,1.7,0.882,1,3.6,4.6,5.6,1.1,0.1,1.7,1.4,15.2
