Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
26,LeBron James,40,LAL,SF,57,57,1989,9.8,19,0.516,2.4,6.1,0.393,7.5,12.9,0.581,0.579,3.8,4.8,0.792,1,7.3,8.4,8.8,0.9,0.6,4.1,1.5,25.8
27,Jamal Murray,27,DEN,PG,55,55,1985,7.9,16.6,0.476,2.4,5.9,0.407,5.5,10.7,0.514,0.548,3.2,3.6,0.889,0.6,3.2,3.8,6,1.4,0.5,2.2,1.9,21.4
28,Domantas Sabonis,28,SAC,C,56,56,1974,7.8,13.2,0.591,1,2.4,0.417,6.8,10.8,0.63,0.629,3.2,4.3,0.744,4,10.4,14.4,6.3,0.6,0.4,3,3.5,20
29,Michael Porter Jr.,26,DEN,SF,59,59,1972,7.5,14.8,0.507,2.8,6.8,0.412,4.7,8,0.588,0.601,2,2.7,0.741,2,5.4,7.4,2.3,0.7,0.5,1.4,2,19.8
30,Dyson Daniels,21,ATL,SG,58,58,1971,6.2,12.9,0.481,1.2,3.3,0.364,5.1,9.6,0.531,0.527,1.2,2,0.6,1.7,4.2,5.9,4.3,3.2,0.8,2,2.7,14.8
31,Tyrese Maxey,24,PHI,PG,52,52,1960,8.8,20,0.44,3,8.8,0.341,5.8,11.3,0.513,0.515,4.7,5.3,0.887,0.3,2.9,3.2,5.8,1.7,0.4,2.3,2.1,25.1
32,Jalen Williams,23,OKC,SG,59,59,1936,8.9,18.7,0.476,2,5.6,0.357,6.9,13.1,0.527,0.529,3.5,4.5,0.778,0.9,5.1,6,5.7,1.8,0.8,2.5,2.7,23.4
33,Karl-Anthony Towns,29,NYK,C,55,55,1936,8.9,17,0.524,2.1,4.9,0.429,6.9,12.1,0.57,0.585,4.8,5.8,0.828,3.1,10.6,13.7,3.2,1,0.8,2.6,3.6,24.8
34,Ivica Zubac,27,LAC,C,60,60,1934,7.9,12.7,0.622,0,0,0,7.9,12.7,0.622,0.622,2,3.1,0.645,4.2,9.8,13.9,2.8,0.9,1.3,1.8,2.4,17.7
35,Anfernee Simons,25,POR,SG,59,59,1926,7.5,17.4,0.431,3.4,9.1,0.374,4.1,8.3,0.494,0.529,2.8,3.1,0.903,0.4,2.7,3,5.5,0.9,0.1,2.3,1.9,21.1
36,Amen Thompson,22,HOU,SF,59,32,1919,6.1,11,0.555,0.4,1.4,0.286,5.7,9.6,0.594,0.573,2.9,4.2,0.69,3,6.2,9.2,3.9,1.5,1.4,2.3,2.6,15.5
37,Brook Lopez,36,MIL,C,60,60,1905,5.3,11,0.482,2,5.7,0.351,3.2,5.4,0.593,0.573,1.6,1.9,0.842,1.5,4.2,5.7,2,0.8,2.2,1.1,2.4,14.2
38,Bilal Coulibaly,20,WAS,SF,57,57,1904,4.8,11.5,0.417,1.2,4.2,0.286,3.6,7.3,0.493,0.47,2.5,3.4,0.735,1.6,3.8,5.3,3.7,1.4,0.8,2.3,2.6,13.3
39,Dillon Brooks,29,HOU,SF,59,59,1900,5.4,13.1,0.412,2.7,6.9,0.391,2.8,6.3,0.444,0.515,1.6,1.9,0.842,1.3,3.1,4.4,1.8,0.9,0.2,1.1,3.8,15.1
40,Tobias Harris,32,DET,PF,59,59,1887,6,12.6,0.476,1.4,4.2,0.333,4.6,8.5,0.541,0.532,2.2,2.5,0.88,1,5.6,6.7,2.5,1,0.9,1.3,2.1,15.5
